id,resource_state,name,elapsed_time,moving_time,start_date,start_date_local,distance,start_index,end_index,average_cadence,device_watts,average_watts,pr_rank,achievements,kom_rank,activity.id,activity.resource_state,athlete.id,athlete.resource_state,segment.id,segment.resource_state,segment.name,segment.activity_type,segment.distance,segment.average_grade,segment.maximum_grade,segment.elevation_high,segment.elevation_low,segment.start_latlng,segment.end_latlng,segment.elevation_profile,segment.climb_category,segment.city,segment.state,segment.country,segment.private,segment.hazardous,segment.starred,average_heartrate,max_heartrate
2969569979835498254,2,Descenso real Coll de Soller,501,501,2022-06-08T05:35:27Z,2022-06-08T07:35:27Z,4873.8,2088,2589,56.8,True,82.1,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7274403243,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3050047208516963562,2,Descenso real Coll de Soller,503,503,2023-01-16T10:14:38Z,2023-01-16T11:14:38Z,4873.8,2110,2613,54.0,True,88.4,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8400728535,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,121.9,145.0
3013781766073009142,2,Descenso real Coll de Soller,505,505,2022-10-08T06:08:11Z,2022-10-08T08:08:11Z,4873.8,1991,2496,53.1,True,93.4,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7929689196,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3019169337177525958,2,Descenso real Coll de Soller,505,505,2022-10-23T06:19:29Z,2022-10-23T08:19:29Z,4873.8,2084,2589,49.3,True,60.4,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8005256592,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,110.0,141.0
3063159463142080424,2,Descenso real Coll de Soller,505,505,2023-02-21T09:44:54Z,2023-02-21T10:44:54Z,4873.8,1978,2483,54.1,True,91.1,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8599298718,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,119.7,150.0
2965208569288440390,2,Descenso real Coll de Soller,507,507,2022-05-27T08:18:50Z,2022-05-27T10:18:50Z,4873.8,2438,2945,51.0,True,72.9,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7210003821,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3024652355110662738,2,Descenso real Coll de Soller,508,508,2022-11-07T07:02:02Z,2022-11-07T08:02:02Z,4873.8,750,1088,18.0,True,0.0,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8081369697,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,111.0,148.0
3042385179423098854,2,Descenso real Coll de Soller,508,508,2022-12-26T07:19:38Z,2022-12-26T08:19:38Z,4873.8,2080,2588,45.5,True,61.1,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8291858265,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,113.8,140.0
2972113197664504440,2,Descenso real Coll de Soller,509,509,2022-06-15T05:14:20Z,2022-06-15T07:14:20Z,4873.8,2109,2618,49.6,True,72.0,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7312217050,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2993475614828841860,2,Descenso real Coll de Soller,509,509,2022-08-13T05:54:16Z,2022-08-13T07:54:16Z,4873.8,2153,2662,49.0,True,87.7,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7629965036,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
